bill_txn_id,biller_code,biller_name,biller_category,customer_account_ref,bill_amount_aed,bill_date,due_date,payment_date,pay_status,payment_channel
BIL-90001,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10045,342.50,2026-04-01,2026-04-15,2026-04-10 09:30:00,PAID,MOBILE_APP
BIL-90002,ETSL001,Etisalat UAE,TELECOM,CUST-10045,189.00,2026-04-01,2026-04-15,2026-04-10 09:35:00,PAID,MOBILE_APP
BIL-90003,DU001,Du Telecom,TELECOM,CUST-10078,245.75,2026-04-01,2026-04-15,2026-04-10 14:22:00,PAID,ONLINE_BANKING
BIL-90004,ADDC001,Abu Dhabi Distribution Company,UTILITIES,CUST-10102,412.00,2026-04-01,2026-04-15,2026-04-11 08:15:00,PAID,MOBILE_APP
BIL-90005,SEWA001,Sharjah Electricity and Water,UTILITIES,CUST-10200,298.25,2026-04-01,2026-04-15,2026-04-11 10:40:00,PAID,ONLINE_BANKING
BIL-90006,SALIK01,Salik Road Toll,TRANSPORT,CUST-10045,120.00,2026-04-05,2026-04-20,2026-04-11 11:50:00,PAID,MOBILE_APP
BIL-90007,RTA001,Roads and Transport Authority,TRANSPORT,CUST-10078,450.00,2026-04-05,2026-04-20,2026-04-11 13:20:00,PAID,ONLINE_BANKING
BIL-90008,AUS001,American University of Sharjah,EDUCATION,CUST-10315,18500.00,2026-04-01,2026-04-30,2026-04-11 15:00:00,PAID,ONLINE_BANKING
BIL-90009,ADNIC01,ADNIC Insurance,INSURANCE,CUST-10102,2400.00,2026-04-01,2026-04-30,2026-04-12 09:15:00,PAID,ONLINE_BANKING
BIL-90010,OMANIC01,Oman Insurance Company,INSURANCE,CUST-10200,1850.00,2026-04-01,2026-04-30,2026-04-12 10:45:00,PAID,MOBILE_APP
BIL-90011,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10078,528.00,2026-04-01,2026-04-15,2026-04-12 12:30:00,PAID,MOBILE_APP
BIL-90012,ETSL001,Etisalat UAE,TELECOM,CUST-10102,215.50,2026-04-01,2026-04-15,2026-04-12 14:00:00,PAID,MOBILE_APP
BIL-90013,DU001,Du Telecom,TELECOM,CUST-10089,178.25,2026-04-01,2026-04-15,2026-04-12 15:40:00,PAID,ONLINE_BANKING
BIL-90014,SALIK01,Salik Road Toll,TRANSPORT,CUST-10102,80.00,2026-04-05,2026-04-20,2026-04-13 08:20:00,PAID,MOBILE_APP
BIL-90015,SALIK01,Salik Road Toll,TRANSPORT,CUST-10200,160.00,2026-04-05,2026-04-20,2026-04-13 09:45:00,PAID,MOBILE_APP
BIL-90016,DHA001,Dubai Health Authority,HEALTHCARE,CUST-10045,580.00,2026-04-01,2026-04-30,2026-04-13 11:00:00,PAID,ONLINE_BANKING
BIL-90017,HBMSU01,Hamdan Bin Mohammed University,EDUCATION,CUST-10420,9500.00,2026-04-01,2026-04-30,2026-04-13 13:30:00,PAID,ONLINE_BANKING
BIL-90018,ADDC001,Abu Dhabi Distribution Company,UTILITIES,CUST-10315,385.50,2026-04-01,2026-04-15,2026-04-13 15:15:00,PAID,MOBILE_APP
BIL-90019,ETSL001,Etisalat UAE,TELECOM,CUST-10200,320.00,2026-04-01,2026-04-15,2026-04-13 17:00:00,PAID,MOBILE_APP
BIL-90020,DU001,Du Telecom,TELECOM,CUST-10420,265.75,2026-04-01,2026-04-15,2026-04-14 09:20:00,PAID,ONLINE_BANKING
BIL-90021,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10045,356.80,2026-04-01,2026-04-15,2026-04-14 10:55:00,PAID,MOBILE_APP
BIL-90022,RTA001,Roads and Transport Authority,TRANSPORT,CUST-10045,220.00,2026-04-05,2026-04-20,2026-04-14 12:40:00,PAID,MOBILE_APP
BIL-90023,ADNIC01,ADNIC Insurance,INSURANCE,CUST-10078,3200.00,2026-04-01,2026-04-30,2026-04-14 14:25:00,PAID,ONLINE_BANKING
BIL-90024,BEEAH01,Bee'ah Waste Management,UTILITIES,CUST-10200,145.00,2026-04-01,2026-04-15,2026-04-14 16:10:00,PAID,MOBILE_APP
BIL-90025,SEWA001,Sharjah Electricity and Water,UTILITIES,CUST-10089,267.40,2026-04-01,2026-04-15,2026-04-14 17:55:00,PAID,ONLINE_BANKING
BIL-90026,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10102,420.00,2026-04-01,2026-04-15,2026-04-15 08:30:00,FAILED,MOBILE_APP
BIL-90027,ETSL001,Etisalat UAE,TELECOM,CUST-10078,195.50,2026-04-01,2026-04-15,2026-04-15 10:15:00,PAID,MOBILE_APP
BIL-90028,ADNIC01,ADNIC Insurance,INSURANCE,CUST-10420,4500.00,2026-04-01,2026-04-30,2026-04-15 12:00:00,PAID,ONLINE_BANKING
BIL-90029,DHA001,Dubai Health Authority,HEALTHCARE,CUST-10315,325.00,2026-04-01,2026-04-30,2026-04-15 13:45:00,PAID,ONLINE_BANKING
BIL-90030,SALIK01,Salik Road Toll,TRANSPORT,CUST-10078,60.00,2026-04-05,2026-04-20,2026-04-15 15:30:00,PAID,MOBILE_APP
BIL-90031,DU001,Du Telecom,TELECOM,CUST-10315,355.00,2026-04-01,2026-04-15,2026-04-16 09:00:00,PAID,ONLINE_BANKING
BIL-90032,ETSL001,Etisalat UAE,TELECOM,CUST-10089,165.25,2026-04-01,2026-04-15,2026-04-16 10:40:00,PAID,MOBILE_APP
BIL-90033,DEWA001,Dubai Electricity and Water Authority,UTILITIES,CUST-10200,478.00,2026-04-01,2026-04-15,2026-04-16 12:15:00,PAID,MOBILE_APP
BIL-90034,AUS001,American University of Sharjah,EDUCATION,CUST-10102,12000.00,2026-04-01,2026-04-30,2026-04-16 14:50:00,PAID,ONLINE_BANKING
BIL-90035,SALIK01,Salik Road Toll,TRANSPORT,CUST-10315,100.00,2026-04-05,2026-04-20,2026-04-16 16:20:00,PAID,MOBILE_APP
BIL-90036,ADDC001,Abu Dhabi Distribution Company,UTILITIES,CUST-10420,512.75,2026-04-01,2026-04-15,2026-04-16 17:55:00,PAID,MOBILE_APP
BIL-90037,DU001,Du Telecom,TELECOM,CUST-10102,290.00,2026-04-01,2026-04-15,2026-04-17 08:45:00,PAID,ONLINE_BANKING
BIL-90038,BEEAH01,Bee'ah Waste Management,UTILITIES,CUST-10089,125.00,2026-04-01,2026-04-15,2026-04-17 10:20:00,PAID,MOBILE_APP
BIL-90039,RTA001,Roads and Transport Authority,TRANSPORT,CUST-10420,380.00,2026-04-05,2026-04-20,2026-04-17 11:55:00,PAID,MOBILE_APP
BIL-90040,HBMSU01,Hamdan Bin Mohammed University,EDUCATION,CUST-10078,7500.00,2026-04-01,2026-04-30,2026-04-17 13:30:00,PAID,ONLINE_BANKING
